team,event,oprStd,oprRobust,oprHybrid,oprHybridRobust,oprNoFoul,oprRobustNoFoul,oprHybridNoFoul,oprHybridRobustNoFoul,fmsInit,oprAutoCell,oprRobustAutoCell,oprAuto,oprRobustAuto,oprTele,oprRobustTele,fmsEnd,oprEnd,oprRobustEnd,oprFoulDraw,oprRobustFoulDraw,oprFoulMade,oprRobustFoulMade
1421,2020arli,53.61594281268062,52.53010791359096,51.799441341661314,50.54414418620159,45.35421042537828,44.334236865499165,43.53770895435892,42.348273138109754,5.0,13.621683249210978,13.54372992281873,18.299303253822185,18.27950529862596,4.360470149592386,3.248987659735469,20.555555555555557,22.694437021963658,22.805743907137703,8.261732387302395,8.195871048091842,0.21062886594430136,0.023071221567131664
16,2020arli,85.47347539706197,95.45469044938659,87.32554458369361,96.33029112223088,73.22601339538437,79.70424192571241,75.07808258201617,80.57984259855672,4.444444444444445,12.883897152312997,14.340558614989412,19.03047985183607,20.657151473706854,31.360852096369833,35.40595065023397,26.38888888888889,22.834681447178603,23.641139801771537,12.247462001677441,15.750448523674144,3.9379897397149435,4.389565513839756
1723,2020arli,28.468718994972477,24.08458016026998,29.518195732948957,27.21528893320487,33.511118286151344,30.27895847056743,34.56059502412778,33.40966724350228,5.0,7.700369251090688,7.062716025432842,12.576625391090026,11.778819498119844,0.47133688414820085,-0.04193767081945765,21.38888888888889,20.463156010913032,18.542076643267038,-5.042399291178822,-6.194378310297406,5.3793471972936295,5.956767898811368
1912,2020arli,36.247217754982366,37.55611301435823,36.71736041084211,37.61017675052212,37.720386781090525,37.96411061984226,38.1905294369503,38.01817435600614,5.0,14.087451009266697,14.254206046592126,19.679192476384408,19.878033651508368,4.380856205461381,4.041746087191797,14.722222222222221,13.66033809924477,14.044330881142042,-1.4731690261081862,-0.4079976054840184,2.9279598727283527,3.216286467259675
2080,2020arli,16.760649228603253,16.493089698402873,19.452839613392918,18.88624837311231,16.662269717677617,16.82616450391808,19.35446010246732,19.21932317862753,1.1111111111111112,6.437492219998627,6.376348133066462,5.3196080623236135,5.25130572135554,0.13919010469092,0.06519726778328994,11.666666666666666,11.203471550663092,11.509661514779246,0.0983795109255956,-0.3330748055152206,-9.35055080881944,-9.586479099426734
2221,2020arli,13.596128358474207,9.569705888139023,10.645256879511429,8.572805977811107,11.322146159920052,7.6427734174564,8.371274680957242,6.6458735071284245,2.7777777777777777,3.0704247772188316,2.5241566539633387,6.48557413089983,5.829094733430891,-3.0324834295949232,-4.211616480168246,5.555555555555555,7.869055458615135,6.025295164193764,2.2739821985541866,1.926932470682683,-3.299735511835843,-2.515982707941582
2333,2020arli,35.78766744226312,34.773225458765566,37.12322090332334,35.84491671340027,16.453639462734316,16.252395120295894,17.789192923794566,17.324086374930538,3.888888888888889,8.478202187539818,8.33992140875192,12.886973671515394,12.750972616065116,3.199879625143638,2.873053855067509,2.2222222222222223,0.3667861660752969,0.6283686491632512,19.33402797952878,18.520830338469736,-1.4024065952711697,-1.8134785880681727
2393,2020arli,54.90069062586117,49.159875813401435,53.20046523620996,49.754085185200225,48.971971624873404,44.92966041213211,47.2717462352222,45.523869783930905,5.0,13.584685878582155,12.767101270916964,19.662191475706468,18.66809179211223,14.52039368997338,13.59010184634728,14.166666666666666,14.789386459193564,12.671466773672606,5.928719000987755,4.230215401269319,0.03240853086993489,0.5043204178046636
2992,2020arli,53.8439022024086,54.32067897380124,52.20903830326687,52.213471136556414,55.566944067668416,55.8947059094169,53.93208016852667,53.78749807217206,5.0,8.827434081905409,8.92009318741984,13.119549748535327,13.260082607453294,10.660201642176817,10.422960440307783,29.444444444444443,31.787192676956288,32.21166286165575,-1.723041865259793,-1.574026935615651,-5.279316269077146,-5.473908405627743
3039,2020arli,38.58228854410359,41.49649015076784,44.3290858046433,46.41590384068742,36.16024957504549,37.512307284018085,41.907046835585206,42.43172097393767,5.0,9.776467400661979,10.181924216399192,14.803205332221317,15.2844178078028,22.686134990478784,22.805352313094033,4.444444444444445,-1.3290907476545932,-0.5774628368787427,2.4220389690580912,3.984182866749747,-5.991670227821274,-5.764091829368048
3139,2020arli,20.75846230561102,17.650875042543966,18.403526115967125,15.994382639569608,19.51149831501774,17.640537863639853,17.15656212537387,15.98404546066552,3.3333333333333335,9.740191318002907,9.239969794365493,12.254652809211027,11.644390042298657,3.5274819184820743,2.855186777411137,0.5555555555555556,3.729363587324646,3.140961043930041,1.246963990593255,0.010337178904088251,-6.591574039928204,-6.549377380523259
3250,2020arli,42.555866455496954,40.961517233785585,41.35464777645615,40.6748841509831,43.86135875746522,42.008655944423616,42.660140078424405,41.722022861621085,5.0,4.03621210725412,3.8826318219012435,9.369317777380648,9.214227716758659,7.790594637836951,7.006057706386508,25.833333333333332,26.70144634224762,25.78837052127843,-1.3054923019682554,-1.0471387106379888,1.3187394668846508,1.7201147530667567
3468,2020arli,23.092404549919266,21.826617030071784,22.646420324990842,22.04763736701735,21.29239469392734,20.52160821214556,20.846410468998926,20.74262854909114,3.888888888888889,3.614847723801494,3.426598003949404,7.202968428662732,6.959114328847358,-1.1017705881359001,-1.0173027881915955,14.444444444444445,15.191196853400493,14.579796671489778,1.800009855991918,1.3050088179262114,-4.2407320719766455,-4.115270209225301
3480,2020arli,0.1797801242359931,-0.30589273344322976,4.529887009618015,4.484124472979043,-0.6769209780370851,-1.1960155214252737,3.6731859073449975,3.5940016849970506,2.2222222222222223,-1.9279742783359737,-1.9786604670469083,0.48024482732912066,0.41649990949520355,-3.8432842587634735,-3.8717822924004857,7.222222222222222,2.686118453397291,2.2592668614800253,0.8567011022730178,0.8901227879819923,-0.2784092322663758,-0.10928988943429996
3593,2020arli,22.007357856488753,27.376848580703566,24.002120126808045,27.742770271425414,22.498146623871442,25.23794857323975,24.492908894190748,25.603870263961596,5.0,8.782518728904805,9.519938614194805,15.259321162086621,16.131342808738673,6.265945720841502,6.639487205322346,4.444444444444445,0.972879740943327,2.467118559178731,-0.49078876738270427,2.138900007463817,3.025045119323749,3.3137403576924163
