,event,key,color,team1,team2,team3,score,scorePredStd,scorePredRobust,scorePredHybrid,scorePredRobustHybrid,scorePredSplitFoul,scorePredRobustSplitFoul,scorePredHybridSplitFoul,scorePredRobHybSplitFoul,margin,marginPredStd,marginPredRobust,marginPredHybrid,marginPredRobustHybrid,marginPredSplitFoul,marginPredRobustSplitFoul,marginPredHybridSplitFoul,marginPredRobHybSplitFoul,auto,autoCell,teleop,endgame,foulsDrawn,opp1,opp2,opp3,oppScore,foulsMade,compLevel,matchNumber,alliance,allianceOpp,alliancePair,weight,weightPair
97,2020arli,2020arli_sf1m2,blue,5013,537,6055,110,139.54544483580358,141.68466751948262,141.3715984784208,139.66509507785284,122.61573589061331,128.42643674693645,124.44188953323051,126.40686430530675,-88,-13.549644495850544,-10.18038515057998,-19.91439690898872,-21.68750786986962,-21.65019557205582,-16.54838060777135,-28.014947985194013,-28.055503327060876,47,32,48,35,15,3937,3959,1723,198,-30,sf,2,4,1,41,0.25,0.5
98,2020arli,2020arli_sf2m2,blue,4087,16,4576,229,186.10531911781524,194.6819594853855,191.97379034769355,199.24025676733604,177.96775741064158,183.80803462977886,183.83622864052003,188.36633191172936,96,47.83825300244493,42.5610129645097,50.57056556816042,47.406751194576486,28.2037490832152,25.23920859721781,30.936061648930774,30.08494682728454,59,44,170,90,0,2992,4336,1912,133,0,sf,2,3,2,32,0.16666666666666666,0.5
99,2020arli,2020arli_f1m1,blue,4087,16,4576,246,186.10531911781524,194.6819594853855,191.97379034769355,199.24025676733604,175.13520594254194,179.84354946911506,181.0036771724204,184.40184675106556,46,33.01022978616112,42.81690681532291,30.687794960284037,37.887653819613575,15.504638217124267,21.66144459888997,13.182203391247327,16.73219160318061,55,40,176,90,15,3937,3959,1723,200,0,f,1,3,1,31,0.16666666666666666,0.5
100,2020arli,2020arli_f1m2,blue,4087,16,4576,178,186.10531911781524,194.6819594853855,191.97379034769355,199.24025676733604,175.13520594254194,179.84354946911506,181.0036771724204,184.40184675106556,75,33.01022978616112,42.81690681532291,30.687794960284037,37.887653819613575,15.504638217124267,21.66144459888997,13.182203391247327,16.73219160318061,57,42,106,50,15,3937,3959,1723,103,0,f,2,3,1,31,0.16666666666666666,0.5
87,2020arli,2020arli_qf1m1,red,3937,3959,1723,170,153.09508933165412,151.8650526700626,161.2859953874095,161.35260294772246,153.46733174181495,152.0325885409214,161.65823779757034,161.52013881858124,72,73.34312259186302,80.70899532764733,80.36294105688182,86.59943313090488,95.43124139825647,100.59080368013194,102.45105986327519,106.48124148338955,35,20,105,75,30,364,5006,2333,98,0,qf,1,1,8,18,0.16666666666666666,0.5
88,2020arli,2020arli_qf2m1,red,5013,537,6055,166,139.54544483580358,141.68466751948262,141.3715984784208,139.66509507785284,137.7469265832582,144.3602657236263,139.57308022587534,142.34069328199658,25,-57.66963827048937,-39.532151847764226,-58.76012703374468,-50.79371249124634,-13.043176108980958,1.6531196071164231,-14.13366487223638,-9.608441036365576,55,40,96,70,15,4265,4635,3250,141,-3,qf,1,4,5,45,0.25,0.5
89,2020arli,2020arli_qf3m1,red,2992,4336,1912,132,138.2670661153703,152.1209465208758,141.40322477953313,151.83350557275955,147.2316415069641,156.48100170086937,150.36780017112696,156.19356075275311,47,29.308185529982836,41.60125875811413,25.821858019835616,35.98720917275823,48.08231901839213,56.691673041890525,44.59599150824492,51.07762345653464,53,38,79,50,0,3039,1421,2080,85,-15,qf,1,2,7,27,0.25,0.5
90,2020arli,2020arli_qf4m1,red,4087,16,4576,171,186.10531911781524,194.6819594853855,191.97379034769355,199.24025676733604,193.91738130602013,201.93882714007003,199.78585253589858,206.49712442202053,34,24.393053475671337,21.70103531974172,33.13824890627819,34.682050790176305,43.88433824851475,43.46195588320484,52.62953367912169,56.44297135363934,53,38,103,35,15,2393,5568,6855,137,-3,qf,1,3,6,36,0.16666666666666666,0.5
91,2020arli,2020arli_qf1m2,red,3937,3959,1723,176,153.09508933165412,151.8650526700626,161.2859953874095,161.35260294772246,153.46733174181495,152.0325885409214,161.65823779757034,161.52013881858124,92,73.34312259186302,80.70899532764733,80.36294105688182,86.59943313090488,95.43124139825647,100.59080368013194,102.45105986327519,106.48124148338955,57,42,116,90,3,364,5006,2333,84,-15,qf,2,1,8,18,0.16666666666666666,0.5
92,2020arli,2020arli_qf2m2,red,5013,537,6055,165,139.54544483580358,141.68466751948262,141.3715984784208,139.66509507785284,137.7469265832582,144.3602657236263,139.57308022587534,142.34069328199658,2,-57.66963827048937,-39.532151847764226,-58.76012703374468,-50.79371249124634,-13.043176108980958,1.6531196071164231,-14.13366487223638,-9.608441036365576,47,32,100,70,18,4265,4635,3250,163,0,qf,2,4,5,45,0.25,0.5
93,2020arli,2020arli_qf3m2,red,2992,4336,1912,129,138.2670661153703,152.1209465208758,141.40322477953313,151.83350557275955,135.11935666109906,144.75061021050254,138.2555153252619,144.4631692623863,29,7.713771477774856,7.009270710901262,8.994012452099497,11.44916383713101,20.65397427452295,19.896557940129995,21.934215248847664,24.33645106635977,57,42,72,55,0,3039,1421,6640,100,-15,qf,2,2,7,27,0.25,0.5
94,2020arli,2020arli_qf4m2,red,4087,16,4576,236,186.10531911781524,194.6819594853855,191.97379034769355,199.24025676733604,193.91738130602013,201.93882714007003,199.78585253589858,206.49712442202053,105,24.393053475671337,21.70103531974172,33.13824890627819,34.682050790176305,43.88433824851475,43.46195588320484,52.62953367912169,56.44297135363934,59,44,177,90,0,2393,5568,6855,131,0,qf,2,3,6,36,0.16666666666666666,0.5
95,2020arli,2020arli_sf1m1,red,3937,3959,1723,200,153.09508933165412,151.8650526700626,161.2859953874095,161.35260294772246,144.26593146266913,144.9748173547078,152.45683751842452,154.46236763236763,61,13.549644495850544,10.18038515057998,19.91439690898872,21.68750786986962,21.65019557205582,16.54838060777135,28.014947985194013,28.055503327060876,55,40,130,90,15,5013,537,6055,139,-3,sf,1,1,4,14,0.16666666666666666,0.5
96,2020arli,2020arli_sf2m1,red,2992,4336,1912,111,138.2670661153703,152.1209465208758,141.40322477953313,151.83350557275955,149.76400832742638,158.56882603256105,152.90016699158926,158.28138508444482,-83,-47.83825300244493,-42.5610129645097,-50.57056556816042,-47.406751194576486,-28.2037490832152,-25.23920859721781,-30.936061648930774,-30.08494682728454,35,20,61,30,15,4087,16,4576,194,-45,sf,1,2,3,23,0.25,0.5
97,2020arli,2020arli_sf1m2,red,3937,3959,1723,198,153.09508933165412,151.8650526700626,161.2859953874095,161.35260294772246,144.26593146266913,144.9748173547078,152.45683751842452,154.46236763236763,88,13.549644495850544,10.18038515057998,19.91439690898872,21.68750786986962,21.65019557205582,16.54838060777135,28.014947985194013,28.055503327060876,50,40,118,90,30,5013,537,6055,110,-15,sf,2,1,4,14,0.16666666666666666,0.5
98,2020arli,2020arli_sf2m2,red,2992,4336,1912,133,138.2670661153703,152.1209465208758,141.40322477953313,151.83350557275955,149.76400832742638,158.56882603256105,152.90016699158926,158.28138508444482,-96,-47.83825300244493,-42.5610129645097,-50.57056556816042,-47.406751194576486,-28.2037490832152,-25.23920859721781,-30.936061648930774,-30.08494682728454,41,26,92,65,0,4087,16,4576,229,0,sf,2,2,3,23,0.25,0.5
99,2020arli,2020arli_f1m1,red,3937,3959,1723,200,153.09508933165412,151.8650526700626,161.2859953874095,161.35260294772246,159.63056772541768,158.1821048702251,167.82147378117307,167.66965514788495,-46,-33.01022978616112,-42.81690681532291,-30.687794960284037,-37.887653819613575,-15.504638217124267,-21.66144459888997,-13.182203391247327,-16.73219160318061,53,38,147,90,0,4087,16,4576,246,-15,f,1,1,3,13,0.16666666666666666,0.5
100,2020arli,2020arli_f1m2,red,3937,3959,1723,103,153.09508933165412,151.8650526700626,161.2859953874095,161.35260294772246,159.63056772541768,158.1821048702251,167.82147378117307,167.66965514788495,-75,-33.01022978616112,-42.81690681532291,-30.687794960284037,-37.887653819613575,-15.504638217124267,-21.66144459888997,-13.182203391247327,-16.73219160318061,48,38,55,35,0,4087,16,4576,178,-15,f,2,1,3,13,0.16666666666666666,0.5
76,2020bcvi,2020bcvi_qf1m1,blue,288,7170,4334,97,112.17356167287974,110.02057723107067,105.82079244216273,104.90820837521966,81.77471274328762,81.46152672786766,75.42194351257056,76.34915787201672,-42,-69.79804292654086,-57.9532951075969,-72.64068589793463,-58.5905286726084,-54.63866976462059,-55.002011805098846,-57.481312736014374,-55.639245370110274,31,16,36,15,30,3598,7498,6486,139,-45,qf,1,8,1,81,0.5,0.5
